Year,Total Production,Hydro,Thermal,Wind,Imports,Exports,Gross consumption,Consumption in the power stations,Pump storage consumption,Loss and statistical difference,Net consumption
2003,107245,106084,943,218,13472,5587,115130,488,863,7950,105829
2004,110472,109291,929,252,15334,3842,121964,569,728,9335,111332
2005,137811,136452,860,499,3653,15695,125769,635,1091,9995,114048
2006,121400,119729,1035,636,9802,8947,122255,567,515,10073,111100
2007,137164,134736,1536,892,5284,15320,127128,558,1543,10417,114610
2008,142108,139981,1214,913,3414,17291,128231,637,1338,9948,116308
2009,131773,126077,4719,977,5650,14633,122790,659,1135,8629,112367
2010,123630,117152,5599,879,14673,7123,131180,560,574,9490,120556
2011,127631,121553,4795,1283,11255,14329,124557,544,1807,7263,114943
2012,147716,142810,3358,1548,4190,22006,129900,560,1536,9098,118706
2013,133975,128699,3395,1881,10135,15140,128970,620,786,8024,119540
2014,141968,136181,3570,2217,6347,21932,126383,692,997,7637,117057
2015,144511,138450,3546,2515,7411,22038,129884,693,1612,7530,120049
2016,148989,143417,3456,2116,5741,22151,132579,563,872,7697,123447
2017,149402,143112,3436,2854,6112,21276,134238,718,1065,7625,124830
2018,147057,139704,3476,3877,8340,18489,136908,765,1031,7564,127548
2019,134882,126030,3328,5525,12353,12309,134926,825,1054,6996,126051
2020,154197,141590,2696,9911,4496,24968,133725,..,952,6351,126422
2021,157113,143699,1646,11768,8235,25819,139529,..,576,7022,131931
2022,145942,128749,2383,14810,13270,25792,133420,..,1609,6657,125154
